date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
01-Mar-2001,AG Concession,Summary of Proposed Investment (Disclosure Policy 2006),10491,https://disclosures.ifc.org/project-detail/SPI/10491/ag-concession,Loan,ANDRADE GUTIERREZ CONCESSOES SA,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,05-Apr-2001,01-May-2001,05-Nov-2001,23-Apr-2002,,,15.0,15.0,30.0,BR,15-Sep-2024
28-Sep-2001,San Vicente International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10678,https://disclosures.ifc.org/project-detail/SPI/10678/san-vicente-international-terminal,Loan,San Vicente Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,31-Oct-2001,18-Mar-2002,05-Feb-2004,25-Mar-2004,,,15.0,2.0,17.0,CL,15-Sep-2024
02-May-2001,Peak Pacific Investment Company,Summary of Proposed Investment (Disclosure Policy 2006),10774,https://disclosures.ifc.org/project-detail/SPI/10774/peak-pacific-investment-company,Loan,Peak Pacific Investment Company Ltd.,China,CHA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,15-Jun-2001,13-Jun-2001,23-Aug-2001,21-Sep-2001,,,25.0,0.0,25.0,CN,15-Sep-2024
01-Mar-2002,Suape International Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),11017,https://disclosures.ifc.org/project-detail/SPI/11017/suape-international-container-terminal,Loan,Tecon Suape S.A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,20-Apr-2002,10-Apr-2002,13-Dec-2005,25-Jul-2006,,,6.0,,6.0,BR,15-Sep-2024
19-Nov-2001,"ISA Peru, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),11026,https://disclosures.ifc.org/project-detail/SPI/11026/isa-peru-s.a.,Loan,Interconexion Electrica Isa Peru S.A.,Peru,PER,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,20-Dec-2001,21-Dec-2001,24-Jun-2002,16-Sep-2002,,,18.0,,18.0,PE,15-Sep-2024
24-Oct-2001,Caucedo Container Port,Summary of Proposed Investment (Disclosure Policy 2006),11109,https://disclosures.ifc.org/project-detail/SPI/11109/caucedo-container-port,Loan,CAUCEDO INVESTMENTS INC,Dominican Republic,DOM,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,27-Nov-2001,06-Dec-2001,20-Jun-2002,07-Nov-2002,,,50.0,,50.0,DO,15-Sep-2024
09-Feb-2005,CJSC AES Kyivoblenergo & CJSC AES Rivneenergo,Summary of Proposed Investment (Disclosure Policy 2006),11134,https://disclosures.ifc.org/project-detail/SPI/11134/cjsc-aes-kyivoblenergo-&-cjsc-aes-rivneenergo,Guarantee,PJSC AES KYIVOBLENERGO,Ukraine,UKR,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,15-Mar-2005,07-Apr-2005,21-Jun-2005,28-Oct-2005,,3.0,30.0,,33.0,UA,15-Sep-2024
18-Dec-2001,Venezuela River Terminals,Summary of Proposed Investment (Disclosure Policy 2006),11179,https://disclosures.ifc.org/project-detail/SPI/11179/venezuela-river-terminals,Loan,"Global Materials Services Venezuela, C.A. / ACBL Riverside Terminals C.A.","Venezuela, Republica Bolivariana de",,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,31-Jan-2002,15-Feb-2002,25-Mar-2002,10-Jun-2002,,,8.8,1.0,9.8,VE,15-Sep-2024
09-Oct-2001,Eesti Raudtee and Baltic Railway Services,Summary of Proposed Investment (Disclosure Policy 2006),11211,https://disclosures.ifc.org/project-detail/SPI/11211/eesti-raudtee-and-baltic-railway-services,Loan,AS Eesti Raudtee,Estonia,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,08-Nov-2001,15-Nov-2001,18-Dec-2001,22-Feb-2002,,,50.0,,50.0,EE,15-Sep-2024
08-May-2002,Manila Water Company,Summary of Proposed Investment (Disclosure Policy 2006),11232,https://disclosures.ifc.org/project-detail/SPI/11232/manila-water-company,Loan,"MANILA WATER COMPANY, INC.",Philippines,PHL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,10-Jun-2002,19-Aug-2002,28-Mar-2003,09-Aug-2004,,,50.0,,50.0,PH,15-Sep-2024
09-May-2002,Sangster International Airport Montego Bay,Summary of Proposed Investment (Disclosure Policy 2006),11353,https://disclosures.ifc.org/project-detail/SPI/11353/sangster-international-airport-montego-bay,Loan,MBJ Airports Limited,Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,14-Jun-2002,25-Jun-2002,28-Jun-2002,11-Apr-2003,,,20.0,,20.0,JM,15-Sep-2024
29-Aug-2002,Jamaica Pubic Service Co.,Summary of Proposed Investment (Disclosure Policy 2006),11367,https://disclosures.ifc.org/project-detail/SPI/11367/jamaica-pubic-service-co.,Loan,"Jamaica Public Service Company, Limited",Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,31-Oct-2002,04-Mar-2003,16-May-2003,23-May-2003,,,45.0,,45.0,JM,15-Sep-2024
26-Apr-2002,UABL River Barges,Summary of Proposed Investment (Disclosure Policy 2006),11383,https://disclosures.ifc.org/project-detail/SPI/11383/uabl-river-barges,Loan,UABL PARAGUAY S.A.,Latin America and the Caribbean Region,,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,30-May-2002,25-Jun-2002,17-Dec-2002,21-Mar-2003,,,20.0,5.0,25.0,,15-Sep-2024
29-May-2002,UP Offshore (Bahamas) Limited,Summary of Proposed Investment (Disclosure Policy 2006),11415,https://disclosures.ifc.org/project-detail/SPI/11415/up-offshore-(bahamas)-limited,Loan,UP Offshore Apoio Marítimo Ltda.,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,30-Jun-2002,28-Jun-2002,03-Dec-2002,23-Jan-2004,,,16.799999,10.0,26.799999,BR,15-Sep-2024
13-May-2002,El Canada Hydroelectric Project,Summary of Proposed Investment (Disclosure Policy 2006),11444,https://disclosures.ifc.org/project-detail/SPI/11444/el-canada-hydroelectric-project,Loan,Generadora de Occidente Limitada,Guatemala,GUA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,12-Jun-2002,26-Jun-2002,12-Dec-2002,28-Jan-2003,,,15.0,,15.0,GT,15-Sep-2024
14-Apr-2003,Thames Water Chile,Summary of Proposed Investment (Disclosure Policy 2006),11453,https://disclosures.ifc.org/project-detail/SPI/11453/thames-water-chile,Risk Management,Aguas Nuevo Sur Maule S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,16-May-2003,28-May-2003,10-Dec-2003,15-Jan-2004,7.0,,35.0,,42.0,CL,15-Sep-2024
10-Apr-2002,Macae,Summary of Proposed Investment (Disclosure Policy 2006),11495,https://disclosures.ifc.org/project-detail/SPI/11495/macae,Loan,Termomacae Ltda,Brazil,BRA,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,20-Jun-2002,20-Jun-2002,03-Dec-2002,05-Mar-2003,,,75.0,,75.0,BR,15-Sep-2024
24-May-2002,Triple A,Summary of Proposed Investment (Disclosure Policy 2006),11519,https://disclosures.ifc.org/project-detail/SPI/11519/triple-a,Guarantee,SOCIEDAD DE ACUEDUCTO ALCANTARILLADO Y ASEO DE BARRANQUILLA S A E S P,Colombia,CLM,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,27-Jun-2002,20-Nov-2002,07-May-2003,,,24.0,,,24.0,CO,15-Sep-2024
30-Sep-2002,CPFL Energia,Summary of Proposed Investment (Disclosure Policy 2006),11575,https://disclosures.ifc.org/project-detail/SPI/11575/cpfl-energia,Loan,CPFL Energia S/A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,21-Nov-2002,15-May-2003,25-Jun-2003,27-Feb-2004,,,40.0,0.0,40.0,BR,15-Sep-2024
24-Mar-2006,AES Sonel,Summary of Proposed Investment (Disclosure Policy 2006),11579,https://disclosures.ifc.org/project-detail/SPI/11579/aes-sonel,Loan,ENEO CAMEROON SA,Cameroon,CAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,27-Apr-2006,18-May-2006,27-Jun-2006,15-Feb-2007,,,85.209999,,85.209999,CM,15-Sep-2024
08-Aug-2002,"HQI Transelec Chile, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),11592,https://disclosures.ifc.org/project-detail/SPI/11592/hqi-transelec-chile-s.a.,Loan,Transelec S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,12-Sep-2002,16-Jan-2003,25-Apr-2003,30-Apr-2003,,,60.0,0.0,60.0,CL,15-Sep-2024
07-May-2003,TermoFortaleza,Summary of Proposed Investment (Disclosure Policy 2006),11600,https://disclosures.ifc.org/project-detail/SPI/11600/termofortaleza,Loan,CGTF Central Geradora Termelétrica Fortaleza S/A.,Brazil,BRA,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,29-May-2003,17-Jul-2003,27-Feb-2006,11-Apr-2006,,,62.5,,62.5,BR,15-Sep-2024
11-Aug-2003,AD Hydro Power Limited,Summary of Proposed Investment (Disclosure Policy 2006),11632,https://disclosures.ifc.org/project-detail/SPI/11632/ad-hydro-power-limited,Loan,AD HYDRO POWER LIMITED,India,IND,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,31-Oct-2003,12-Oct-2004,25-Jan-2005,13-Mar-2007,,,40.0,7.0,47.0,IN,15-Sep-2024
26-Sep-2002,Rio Bravo III,Summary of Proposed Investment (Disclosure Policy 2006),11637,https://disclosures.ifc.org/project-detail/SPI/11637/rio-bravo-iii,Risk Management,Central Lomas de Real S.A. de C.V.,Mexico,MXC,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,04-Dec-2002,12-Jun-2003,23-Jul-2003,22-Jun-2004,2.0,,70.0,,72.0,MX,15-Sep-2024
11-Oct-2002,Pakistan International Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),11646,https://disclosures.ifc.org/project-detail/SPI/11646/pakistan-international-container-terminal,Loan,PAKISTAN INTERNATIONAL AIRLINES CORPORATION,Pakistan,PAK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,19-Nov-2002,20-Nov-2002,17-May-2003,16-Dec-2003,,,9.25,,9.25,PK,15-Sep-2024
26-Sep-2002,Rio Bravo IV,Summary of Proposed Investment (Disclosure Policy 2006),11662,https://disclosures.ifc.org/project-detail/SPI/11662/rio-bravo-iv,Risk Management,Central Valle Hermoso S.A. de C.V.,Mexico,MXC,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,04-Dec-2002,12-Jun-2003,23-Jul-2003,22-Jun-2004,2.0,,70.0,,72.0,MX,15-Sep-2024
07-Nov-2002,Transportadora de Electricidad S.A.,Summary of Proposed Investment (Disclosure Policy 2006),11674,https://disclosures.ifc.org/project-detail/SPI/11674/transportadora-de-electricidad-s.a.,Loan,Transportadora de Electricidad S.A.,Bolivia,BOL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,15-Jan-2003,27-Mar-2003,30-May-2003,18-Jun-2003,,,30.0,,30.0,BO,15-Sep-2024
17-Dec-2003,Inversionistas en Autotransportes Mexicanos S.A. de C.V.,Summary of Proposed Investment (Disclosure Policy 2006),11720,https://disclosures.ifc.org/project-detail/SPI/11720/inversionistas-en-autotransportes-mexicanos-s.a.-de-c.v.,Loan,"Desarrollo Terrestre Mexicano, S.A. de C.V.",Mexico,MXC,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,19-Jan-2003,22-Mar-2004,13-May-2004,11-Feb-2005,,,37.0,,37.0,MX,15-Sep-2024
12-Nov-2002,Aguas de Panama S.A.,Summary of Proposed Investment (Disclosure Policy 2006),11740,https://disclosures.ifc.org/project-detail/SPI/11740/aguas-de-panama-s.a.,Loan,Aguas de Panama S.A.,Panama,PAN,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,13-Dec-2002,20-Feb-2003,11-Apr-2003,17-Oct-2003,,,6.0,,6.0,PA,15-Sep-2024
15-Apr-2003,Norvial S.A.,Summary of Proposed Investment (Disclosure Policy 2006),20050,https://disclosures.ifc.org/project-detail/SPI/20050/norvial-s.a.,Loan,NORVIAL SA,Peru,PER,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,22-May-2003,22-May-2003,20-Jun-2003,04-Nov-2005,,,18.0,,18.0,PE,15-Sep-2024
13-Jan-2004,Sokhna Port Development Company,Summary of Proposed Investment (Disclosure Policy 2006),20055,https://disclosures.ifc.org/project-detail/SPI/20055/sokhna-port-development-company,Loan,DP WORLD SOKHNA,"Egypt, Arab Republic of",EGT,Infrastructure,B,Regional Industry - INF ME & Africa,Completed,19-Feb-2004,04-Mar-2004,15-Apr-2004,04-Apr-2005,,,20.0,,20.0,EG,15-Sep-2024
20-Dec-2002,Kenya Airways,Summary of Proposed Investment (Disclosure Policy 2006),20280,https://disclosures.ifc.org/project-detail/SPI/20280/kenya-airways,Loan,KENYA AIRWAYS PLC,Kenya,KEN,Infrastructure,C,Regional Industry - INF Africa,Completed,20-Jan-2003,05-Feb-2003,13-Mar-2003,31-Oct-2003,,,15.0,,15.0,KE,15-Sep-2024
02-Jul-2003,Kulon,Summary of Proposed Investment (Disclosure Policy 2006),20337,https://disclosures.ifc.org/project-detail/SPI/20337/kulon,Loan,ZAO KULON YUGROS,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,21-Aug-2003,14-Dec-2003,01-Apr-2004,24-May-2004,,,7.5,,7.5,RU,15-Sep-2024
02-Jun-2003,Tala Transmision,Summary of Proposed Investment (Disclosure Policy 2006),20350,https://disclosures.ifc.org/project-detail/SPI/20350/tala-transmision,Loan,POWERLINKS TRANSMISSION LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,31-Jul-2003,09-Oct-2003,09-Jan-2004,20-May-2004,,,75.0,,75.0,IN,15-Sep-2024
03-Dec-2004,Basic Energy,Summary of Proposed Investment (Disclosure Policy 2006),20384,https://disclosures.ifc.org/project-detail/SPI/20384/basic-energy,Guarantee,"Consorcio Energetico Punta Cana Macao, S.A.",Latin America and the Caribbean Region,,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,15-Jan-2005,24-May-2005,28-Jun-2005,12-May-2006,,15.0,10.0,,25.0,,15-Sep-2024
22-Dec-2004,La Higuera,Summary of Proposed Investment (Disclosure Policy 2006),21315,https://disclosures.ifc.org/project-detail/SPI/21315/la-higuera,Loan,Hidroelectrica La Higuera S.A.,Chile,,Infrastructure,A,Regional Industry INF LAC & EUR,Completed,03-Mar-2005,30-Mar-2005,02-Nov-2005,25-May-2007,,,45.0,0.0,45.0,CL,15-Sep-2024
12-Mar-2004,Modern Asia,Summary of Proposed Investment (Disclosure Policy 2006),21360,https://disclosures.ifc.org/project-detail/SPI/21360/modern-asia,Loan,Modern Asia Environmental Holdings,East Asia and Pacific Region,EAP,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,19-Apr-2004,23-Apr-2004,25-Jun-2004,13-Sep-2005,,,15.0,,15.0,EAP,15-Sep-2024
29-Oct-2003,Cambodia Airports,Summary of Proposed Investment (Disclosure Policy 2006),21363,https://disclosures.ifc.org/project-detail/SPI/21363/cambodia-airports,Loan,SOCIETE CONCESSIONNAIRE DE L'AEROPORT,Cambodia,KAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,01-Dec-2003,09-Jan-2004,16-Jun-2004,28-Jan-2005,,,10.0,,10.0,KH,15-Sep-2024
03-Mar-2004,Volga Shipping Company,Summary of Proposed Investment (Disclosure Policy 2006),21396,https://disclosures.ifc.org/project-detail/SPI/21396/volga-shipping-company,Loan,VOLGA SHIPPING JSC,Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,29-Apr-2004,29-Apr-2004,23-May-2005,16-Sep-2005,,,27.0,,27.0,RU,15-Sep-2024
14-Nov-2003,Severstaltrans,Summary of Proposed Investment (Disclosure Policy 2006),21422,https://disclosures.ifc.org/project-detail/SPI/21422/severstaltrans,Loan,"SEVTEKHNOTRANS, OOO",Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,22-Dec-2003,28-Jan-2004,24-Mar-2004,07-Jul-2004,,,40.0,,40.0,RU,15-Sep-2024
18-Mar-2004,Kusadasi Cruise Ship Terminal,Summary of Proposed Investment (Disclosure Policy 2006),21495,https://disclosures.ifc.org/project-detail/SPI/21495/kusadasi-cruise-ship-terminal,Loan,Ege Liman Isletmeleri A.S.,Turkiye,,Infrastructure,B,Regional Industry INF MCT,Completed,30-Apr-2004,10-May-2004,22-Jun-2004,04-Nov-2004,,,10.0,,10.0,TR,15-Sep-2024
16-Dec-2003,Russkiy Mir,Summary of Proposed Investment (Disclosure Policy 2006),21506,https://disclosures.ifc.org/project-detail/SPI/21506/russkiy-mir,Loan,JSC SFAT,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,22-Jan-2003,07-Apr-2004,29-Apr-2004,18-Jun-2004,,,15.0,,15.0,RU,15-Sep-2024
16-Apr-2004,China Green,Summary of Proposed Investment (Disclosure Policy 2006),21576,https://disclosures.ifc.org/project-detail/SPI/21576/china-green,Loan,Zheneng Jinjiang,China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,24-May-2004,09-Jun-2004,09-Jun-2004,23-Feb-2005,,,30.0,,30.0,CN,15-Sep-2024
17-Dec-2003,Manzanillo Container Terminal,Summary of Proposed Investment (Disclosure Policy 2006),21805,https://disclosures.ifc.org/project-detail/SPI/21805/manzanillo-container-terminal,Loan,"SSA México Holdings, S.A. de C.V.",Mexico,MXC,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,23-Jan-2004,28-Jan-2004,13-Feb-2004,27-Feb-2004,,,45.0,,45.0,MX,15-Sep-2024
03-May-2004,TRG EXPANSION,Summary of Proposed Investment (Disclosure Policy 2006),21887,https://disclosures.ifc.org/project-detail/SPI/21887/trg-expansion,Loan,Tecon Rio Grande S/A.,Brazil,BRA,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,03-Jun-2004,04-Jun-2004,25-Jun-2004,16-Sep-2005,,,8.1,,8.1,BR,15-Sep-2024
06-Apr-2005,Kounoune Power S.A.,Summary of Proposed Investment (Disclosure Policy 2006),22410,https://disclosures.ifc.org/project-detail/SPI/22410/kounoune-power-s.a.,Loan,KOUNOUNE POWER,Senegal,SEN,Infrastructure,B,Regional Industry - INF Africa,Completed,12-May-2005,17-May-2005,07-Dec-2005,22-Dec-2006,,,19.9,,19.9,SN,15-Sep-2024
16-Aug-2005,Guangzhou Development Industry Holdings,Summary of Proposed Investment (Disclosure Policy 2006),22418,https://disclosures.ifc.org/project-detail/SPI/22418/guangzhou-development-industry-holdings,Loan,GUANGZHOU DEVELOPMENT GROUP INCORPORATED,China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,15-Sep-2005,15-Sep-2005,13-Oct-2005,20-Oct-2005,,,50.09,,50.09,CN,15-Sep-2024
12-Apr-2004,MS Shipping,Summary of Proposed Investment (Disclosure Policy 2006),22547,https://disclosures.ifc.org/project-detail/SPI/22547/ms-shipping,Loan,"Minsheng Shipping Co., Ltd.",China,CHA,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,18-May-2003,14-Oct-2004,22-Jun-2005,21-Feb-2006,,,15.75,5.0,20.75,CN,15-Sep-2024
18-Nov-2005,Brunswick Rail Leasing,Summary of Proposed Investment (Disclosure Policy 2006),22552,https://disclosures.ifc.org/project-detail/SPI/22552/brunswick-rail-leasing,Loan,Brunswick Capital,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,19-Dec-2005,29-Dec-2005,30-Dec-2005,31-Mar-2006,,,37.5,7.5,45.0,RU,15-Sep-2024
30-Mar-2004,MWC II,Summary of Proposed Investment (Disclosure Policy 2006),22621,https://disclosures.ifc.org/project-detail/SPI/22621/mwc-ii,Loan,"MANILA WATER COMPANY, INC.",Philippines,PHL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,01-May-2004,10-May-2004,31-May-2004,02-Aug-2004,,,30.0,15.0,45.0,PH,15-Sep-2024
03-Mar-2004,North-Western Shipping,Summary of Proposed Investment (Disclosure Policy 2006),22768,https://disclosures.ifc.org/project-detail/SPI/22768/north-western-shipping,Loan,NW SHIP-REPAIR COMPANY LIMITED,Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,29-Apr-2004,29-Apr-2004,23-May-2005,02-Jun-2006,,,23.0,,23.0,RU,15-Sep-2024
16-Aug-2004,"Aeropuertos Dominicanos Siglo XXI, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),22831,https://disclosures.ifc.org/project-detail/SPI/22831/aeropuertos-dominicanos-siglo-xxi-s.a.,Loan,Aeropuertos Dominicanos Siglo XXI SA,Dominican Republic,DOM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,23-Sep-2004,28-Oct-2004,16-Nov-2004,24-Feb-2005,,,45.0,,45.0,DO,15-Sep-2024
20-Feb-2004,City of Johannesburg Financing,Summary of Proposed Investment (Disclosure Policy 2006),22843,https://disclosures.ifc.org/project-detail/SPI/22843/city-of-johannesburg-financing,Guarantee,CITY OF JOHANNESBURG,South Africa,SOU,Infrastructure,FI,Regional Industry - INF ME & Africa,Completed,24-Mar-2004,25-Mar-2004,24-Jun-2004,,,50.0,,,50.0,ZA,15-Sep-2024
14-Feb-2005,Eurosibtrans,Summary of Proposed Investment (Disclosure Policy 2006),23270,https://disclosures.ifc.org/project-detail/SPI/23270/eurosibtrans,Loan,Eurosib Group,Russian Federation,RUS,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,16-Mar-2005,31-Mar-2005,29-Jun-2005,20-Jul-2005,,,30.0,,30.0,RU,15-Sep-2024
12-Nov-2004,PICT II,Summary of Proposed Investment (Disclosure Policy 2006),23356,https://disclosures.ifc.org/project-detail/SPI/23356/pict-ii,Loan,Premier Mercantile Services Limited,Pakistan,PAK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,15-Dec-2004,23-Dec-2004,29-Mar-2005,10-May-2006,,,6.0,,6.0,PK,15-Sep-2024
18-Apr-2005,Jamaica Energy Partners Expansion,Summary of Proposed Investment (Disclosure Policy 2006),23524,https://disclosures.ifc.org/project-detail/SPI/23524/jamaica-energy-partners-expansion,Loan,Jamaica Energy Partners Limited,Jamaica,JAM,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,20-May-2005,10-Jun-2005,29-Jun-2005,11-Jan-2006,,,28.0,,28.0,JM,15-Sep-2024
